1,S/,118
2,S/,2
3,S/,600
4,S/,30
5,S/,130
6,S/,598
7,S/,4
8,S/,30
9,S/,30
10,S/,105
11,S/,40
12,S/,59
13,S/,115
14,S/,13
15,S/,2
16,S/,30
17,S/,115
18,S/,50
19,S/,249
20,S/,70
21,S/,99
22,S/,89
23,S/,70
24,S/,259
25,S/,95
26,S/,680
27,S/,159
28,S/,249
29,S/,115
30,S/,890
31,S/,219
32,S/,756
33,S/,180
34,S/,165
35,S/,118
36,S/,45
37,S/,600
38,S/,72
39,S/,22
40,S/,69
41,S/,18
42,S/,89
43,S/,69
44,S/,15
45,S/,598
46,S/,125
47,S/,59
48,S/,420
49,S/,5
50,S/,3
51,S/,5
52,S/,50
53,S/,729
54,S/,756
55,S/,29
56,S/,69
57,S/,35
58,S/,120
59,S/,18
60,S/,30
61,S/,30
62,S/,82
63,S/,101
64,S/,644
65,S/,129
66,S/,99
67,S/,95
68,S/,69
69,S/,14
70,S/,358
71,S/,79
72,S/,258
73,S/,300
74,S/,64
75,S/,159
76,S/,9
77,S/,219
78,S/,28
79,S/,29
80,S/,179
81,S/,35
82,S/,370
83,S/,69
84,S/,99
85,S/,114
86,S/,60
87,S/,20
88,S/,25
89,S/,159
90,S/,538
91,S/,55
92,S/,199
93,S/,440
94,S/,25
95,S/,114
96,S/,20
97,S/,722
98,S/,94
99,S/,130
100,S/,36
101,S/,120
102,S/,89
103,S/,99
104,S/,29
105,S/,157
106,S/,864
107,S/,1.500
108,S/,158
109,S/,258
110,S/,158
111,S/,174
112,S/,30
113,S/,30
114,S/,172
115,S/,369
116,S/,565
117,S/,141
118,S/,242
119,S/,164
120,S/,123
121,S/,435
122,S/,168
123,S/,162
124,S/,378
125,S/,611
126,S/,258
127,S/,539
128,S/,537
129,S/,158
130,S/,136
131,S/,147
132,S/,152
133,S/,216
134,S/,138
135,S/,166
136,S/,136
137,S/,129
138,S/,181
139,S/,190
140,S/,715
141,S/,232
142,S/,859
143,S/,190
144,S/,184
145,S/,183
146,S/,864
147,S/,609
148,S/,287
149,S/,1.070
150,S/,363
151,S/,157
152,S/,310
153,S/,405
154,S/,189
155,S/,158
156,S/,206
157,S/,940
158,S/,158
159,S/,158
160,S/,158
161,S/,589
162,S/,3.457
163,S/,3.530
164,S/,30
165,S/,30
166,S/,3.473
167,S/,147
168,S/,141
169,S/,179
170,S/,174
171,S/,253
172,S/,196
173,S/,196
174,S/,979
175,S/,253
176,S/,268
177,S/,295
178,S/,172
179,S/,147
180,S/,168
181,S/,157
182,S/,158
183,S/,157
184,S/,597
185,S/,201
186,S/,220
187,S/,195
188,S/,170
189,S/,246
190,S/,140
191,S/,131
192,S/,232
193,S/,176
194,S/,158
195,S/,499
196,S/,186
197,S/,210
198,S/,170
199,S/,179
200,S/,240
201,S/,158
202,S/,179
203,S/,222
204,S/,192
205,S/,192
206,S/,426
207,S/,184
208,S/,163
209,S/,30
210,S/,40
211,S/,386
212,S/,45
213,S/,35
214,S/,155
215,S/,302
216,S/,30
217,S/,30
218,S/,269
219,S/,504
220,S/,269
221,S/,455
222,S/,205
223,S/,58
224,S/,329
225,S/,389
226,S/,5
227,S/,125
228,S/,5
229,S/,12
230,S/,145
231,S/,413
232,S/,180
233,S/,348
234,S/,70
235,S/,150
236,S/,95
237,S/,50
238,S/,100
239,S/,20
240,S/,35
241,S/,55
242,S/,71
243,S/,35
244,S/,35
245,S/,14
246,S/,600
247,S/,15
248,S/,100
249,S/,405
250,S/,150
251,S/,45
252,S/,97
253,S/,50
254,S/,44
255,S/,79
256,S/,349
257,S/,60
258,S/,80
259,S/,761
260,S/,50
261,S/,799
262,S/,210
263,S/,166
264,S/,325
265,S/,147
266,S/,190
267,S/,166
268,S/,30
269,S/,30
270,S/,201
271,S/,237
272,S/,1.137
273,S/,1.813
274,S/,168
275,S/,231
276,S/,307
277,S/,806
278,S/,430
279,S/,321
280,S/,1.497
281,S/,300
282,S/,168
283,S/,196
284,S/,100
285,S/,45
286,S/,65
287,S/,210
288,S/,153
289,S/,187
290,S/,216
291,S/,865
292,S/,356
293,S/,40
294,S/,198
295,S/,221
296,S/,159
297,S/,24
298,S/,184
299,S/,168
300,S/,193
301,S/,230
302,S/,429
303,S/,338
304,S/,600
305,S/,991
306,S/,232
307,S/,195
308,S/,326
309,S/,162
310,S/,206
311,S/,558
312,S/,232
313,S/,192
314,S/,174
315,S/,493
316,S/,326
317,S/,775
318,S/,194
319,S/,584
320,S/,30
321,S/,30
322,S/,405
323,S/,378
324,S/,209
325,S/,171
326,S/,154
327,S/,3.082
328,S/,256
329,S/,171
330,S/,148
331,S/,144
332,S/,403
333,S/,349
334,S/,179
335,S/,179
336,S/,263
337,S/,190
338,S/,310
339,S/,268
340,S/,152
341,S/,146
342,S/,168
343,S/,222
344,S/,469
345,S/,268
346,S/,245
347,S/,190
348,S/,184
349,S/,469
350,S/,363
351,S/,179
352,S/,263
353,S/,206
354,S/,258
355,S/,201
356,S/,203
357,S/,227
358,S/,232
359,S/,152
360,S/,216
361,S/,310
362,S/,167
363,S/,147
364,S/,232
365,S/,139
366,S/,190
367,S/,163
368,S/,158
369,S/,206
370,S/,139
371,S/,310
372,S/,30
373,S/,30
374,S/,188
375,S/,762
376,S/,158
377,S/,750
378,S/,260
379,S/,237
380,S/,370
381,S/,175
382,S/,293
383,S/,184
384,S/,258
385,S/,168
386,S/,1.537
387,S/,300
388,S/,296
389,S/,152
390,S/,163
391,S/,166
392,S/,161
393,S/,136
394,S/,628
395,S/,190
396,S/,240
397,S/,158
398,S/,129
399,S/,437
400,S/,333
401,S/,171
402,S/,628
403,S/,161
404,S/,190
405,S/,173
406,S/,211
407,S/,225
408,S/,217
409,S/,206
410,S/,222
411,S/,206
412,S/,158
413,S/,173
414,S/,174
415,S/,163
416,S/,258
417,S/,129
418,S/,139
419,S/,55
420,S/,259
421,S/,130
422,S/,22
423,S/,24
424,S/,30
425,S/,30
426,S/,189
427,S/,16
428,S/,699
429,S/,64
430,S/,300
431,S/,1.899
432,S/,70
433,S/,206
434,S/,911
435,S/,354
436,S/,163
437,S/,65
438,S/,220
439,S/,1.059
440,S/,85
441,S/,314
442,S/,158
443,S/,1.542
444,S/,232
445,S/,232
446,S/,199
447,S/,50
448,S/,45
449,S/,198
450,S/,174
451,S/,1.150
452,S/,350
453,S/,151
454,S/,179
455,S/,60
456,S/,147
457,S/,150
458,S/,187
459,S/,25
460,S/,222
461,S/,237
462,S/,190
463,S/,35
464,S/,280
465,S/,297
466,S/,179
467,S/,177
468,S/,150
469,S/,248
470,S/,136
471,S/,190
472,S/,199
473,S/,158
474,S/,1.781
475,S/,155
476,S/,30
477,S/,30
478,S/,131
479,S/,254
480,S/,163
481,S/,577
482,S/,1.020
483,S/,171
484,S/,136
485,S/,775
486,S/,864
487,S/,813
488,S/,141
489,S/,814
490,S/,795
491,S/,190
492,S/,184
493,S/,230
494,S/,262
495,S/,736
496,S/,227
497,S/,141
498,S/,284
499,S/,196
500,S/,178
501,S/,589
502,S/,5
503,S/,233
504,S/,911
505,S/,13
506,S/,181
507,S/,310
508,S/,532
509,S/,321
510,S/,238
511,S/,19
512,S/,158
513,S/,864
514,S/,179
515,S/,287
516,S/,163
517,S/,206
518,S/,637
519,S/,279
520,S/,158
521,S/,423
522,S/,1.899
523,S/,761
524,S/,764
525,S/,1.353
526,S/,355
527,S/,800
528,S/,30
529,S/,30
530,S/,413
531,S/,25
532,S/,268
533,S/,350
534,S/,120
535,S/,499
536,S/,22
537,S/,24
538,S/,350
539,S/,28
540,S/,880
541,S/,1.195
542,S/,158
543,S/,538
544,S/,856
545,S/,158
546,S/,354
547,S/,935
548,S/,173
549,S/,412
550,S/,141
551,S/,548
552,S/,354
553,S/,187
554,S/,17
555,S/,184
556,S/,168
557,S/,3.412
558,S/,187
559,S/,147
560,S/,2.902
561,S/,597
562,S/,168
563,S/,179
564,S/,136
565,S/,258
566,S/,253
567,S/,864
568,S/,131
569,S/,196
570,S/,158
571,S/,269
572,S/,147
573,S/,375
574,S/,85
575,S/,85
576,S/,179
577,S/,180
578,S/,45
579,S/,199
